nix-busybox 1.36.1-2
nlohmann-json 3.12.0-2
nm-connection-editor 1.36.0-1
nodejs 23.11.1-1
noto-fonts-emoji 1:2.047-1
npth 1.8-1
nspr 4.36-1
nss 3.112-1
nss-mdns 0.15.1-2
nwg-displays 0.3.25-1
nwg-look 1.0.5-1
ocl-icd 2.3.3-1
oh-my-posh-bin 25.23.3-1
onetbb 2022.1.0-1
oniguruma 6.9.10-1
openal 1.24.3-1
opencc 1.1.8-2
opencore-amr 0.1.6-2
openjpeg2 2.5.3-1
openssh 10.0p1-3
openssl 3.5.0-1
opus 1.5.2-1
orc 0.4.41-1
p11-kit 0.25.5-1
pacman 7.0.0.r6.gc685ae6-2
pacman-contrib 1.11.0-1
pacman-mirrorlist 20250522-1
pahole 1:1.30-1
pam 1.7.0-2
pambase 20230918-2
pamixer 1.6-3
pango 1:1.56.3-1
pangomm 2.46.4-1
pangomm-2.48 2.56.1-1
parallel 20250522-1
parted 3.6-2
paru 2.0.4-1.1
pastebinit 1.5.1-2
patch 2.8-1
pavucontrol 1:6.1-1
pciutils 3.13.0-2
pcre 8.45-4
pcre2 10.45-1
pcsclite 2.3.3-1
peg 0.1.19-1
perl 5.40.2-1
perl-error 0.17030-1
perl-mailtools 2.22-1
perl-timedate 2.33-7
phonon-qt6 4.12.0-4
phonon-qt6-mpv 0.1.0-3
pinentry 1.3.1-5
pipewire 1:1.4.2-1
pipewire-alsa 1:1.4.2-1
pipewire-audio 1:1.4.2-1
pipewire-jack 1:1.4.2-1
pipewire-pulse 1:1.4.2-1
pixman 0.46.0-1
pkgconf 2.4.3-1
plasma-activities 6.3.5-1
plasma-framework5 5.116.0-1
playerctl 2.4.1-4
polkit 126-2
polkit-gnome 0.105-11
polkit-qt5 0.200.0-1
polkit-qt6 0.200.0-1
poppler 25.05.0-1
poppler-data 0.4.12-2
poppler-glib 25.05.0-1
poppler-qt6 25.05.0-1
popt 1.19-2
portaudio 1:19.7.0-3
postgresql-libs 17.4-4
procps-ng 4.0.5-3
psmisc 23.7-1
pugixml 1.15-2
python 3.13.3-1
python-autocommand 2.2.2-7
python-cairo 1.28.0-1
python-colorama 0.4.6-5
python-decorator 5.2.1-1
python-docopt 0.6.2-14
python-gobject 3.52.3-3
python-i3ipc 2.2.1-8
python-jaraco.collections 5.1.0-1
python-jaraco.context 6.0.1-1
python-jaraco.functools 4.1.0-1
python-jaraco.text 4.0.0-2
python-keyutils 0.6-11
python-lxml 5.4.0-1
python-mako 1.3.10-1
python-markdown 3.8-1
python-markupsafe 2.1.5-3
python-more-itertools 10.7.0-1
python-mutagen 1.47.0-3
python-packaging 25.0-1
python-pillow 11.2.1-1
python-platformdirs 4.3.6-2
python-psutil 7.0.0-1
python-pygments 2.19.1-1
python-pystache 0.6.5-3
python-pyte 0.8.2-4
python-setuptools 1:80.8.0-1
python-six 1.17.0-1
python-tqdm 4.67.1-2
python-wcwidth 0.2.13-3
python-wheel 0.45.1-1
python-xlib 0.33-4
python-yaml 6.0.2-2
qca-qt5 2.3.10-2
qca-qt6 2.3.10-2
qpdf 12.2.0-1
qt4 4.8.7-38
qt5-base 5.15.17+kde+r122-1
qt5-declarative 5.15.17+kde+r21-1
qt5-graphicaleffects 5.15.17-1
qt5-multimedia 5.15.17+kde+r2-1
qt5-quickcontrols 5.15.17-1
qt5-quickcontrols2 5.15.17+kde+r5-1
qt5-script 5.15.19-2
qt5-speech 5.15.17+kde+r1-1
qt5-svg 5.15.17+kde+r5-1
qt5-tools 5.15.17+kde+r3-1
qt5-translations 5.15.17-1
qt5-wayland 5.15.17+kde+r57-1
qt5-x11extras 5.15.17-1
qt5ct 1.9-1
qt6-5compat 6.9.0-1
qt6-base 6.9.0-1
qt6-declarative 6.9.0-2
qt6-multimedia 6.9.0-1
qt6-multimedia-ffmpeg 6.9.0-1
qt6-shadertools 6.9.0-1
qt6-speech 6.9.0-1
qt6-svg 6.9.0-1
qt6-tools 6.9.0-2
qt6-translations 6.9.0-1
qt6-virtualkeyboard 6.9.0-1
qt6-wayland 6.9.0-2
qt6ct 0.10-3
rav1e 0.7.1-1
re2 1:20240702-5
readline 8.2.013-1
rhash 1.4.4-1
rime-bopomofo 0.0.0.20210131-2
rime-cangjie 0.0.0.20240325-1
rime-essay 0.0.0.20241229-1
rime-luna-pinyin 0.0.0.20230204-2
rime-prelude 0.0.0.20230921-1
rime-stroke 0.0.0.20250118-1
rime-terra-pinyin 0.0.0.20240625-1
ripgrep 14.1.1-1
ripgrep-all 0.10.9-1
rofi-calc-git r201.c54d8e7-1
rofi-wayland 1.7.9.1-1
rtkit 0.13-3
rubberband 4.0.0-1
rustup-git 1.28.2.r28.gffe880b2-1
s2n-tls 1.5.18-1
samba 2:4.22.1-1
sassc 3.6.2-5
sbc 2.0-2
scdoc 1.11.3-1
sdbus-cpp 2.1.0-2
sddm 0.21.0-6
sddm-astronaut-theme 66.5e39e08-1
sdl2-compat 2.32.56-1
sdl3 3.2.14-1
seatd 0.9.1-1
sed 4.9-3
serd 0.32.4-1
shaderc 2025.2-2
shadow 4.17.4-1
shared-mime-info 2.4-2
shikane 1.0.1-2
simdjson 1:3.12.3-1
slang 2.3.3-3
slurp 1.5.0-1
smartmontools 7.5-1
smbclient 2:4.22.1-1
snappy 1.2.2-2
sndio 1.10.0-1
socat 1.8.0.3-1
sof-firmware 2025.01.1-1
solid 6.14.0-1
solid5 5.116.0-1
sonnet 6.14.0-1
sonnet5 5.116.0-1
sord 0.16.18-1
sound-theme-freedesktop 0.8-6
spdlog 1.15.3-1
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 1:1.4.313.0-1
sqlite 3.49.2-1
sratom 0.6.18-1
srt 1.5.4-1
startup-notification 0.12-8
stow 2.4.1-1
sudo 1.9.16.p2-2
suru-plus-folders-git .1.8.1.0.g8c88b5c-1
svt-av1 3.0.2-1
swww 0.9.5-2
syndication 6.14.0-1
syntax-highlighting 6.14.0-1
systemd 257.5-3
systemd-libs 257.5-3
systemd-sysvcompat 257.5-3
taglib 2.0.2-1
talloc 2.4.3-1
tar 1.35-2
tdb 1.4.13-1
tevent 1:0.16.2-1
texinfo 7.2-1
thefuck 3.32-11
tinysparql 3.9.2-2
tomlplusplus 3.4.0-1
tpm2-tss 4.1.3-1
tree-sitter 0.25.3-1
tree-sitter-c 0.23.5-1
tree-sitter-lua 0.2.0-1
tree-sitter-markdown 0.3.1-1
tree-sitter-query 0.5.0-1
tree-sitter-vim 0.4.0-1
tree-sitter-vimdoc 3.0.0-1
tslib 1.23-1
ttf-fantasque-nerd 3.4.0-1
ttf-fantasque-sans-mono 1.8.0-3
tzdata 2025b-1
uchardet 0.0.8-3
udiskie 2.5.7-1
udisks2 2.10.1-5
ufw 0.36.2-5
unibilium 2.1.2-1
unixodbc 2.3.12-3
unzip 6.0-22
